PLAYER,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP
Colt McCoy,33,1,1,18,27,122,0,1,2,14,7.00,0,0,0,0,0,0,2,0,0,0,0
Cooper Kupp,26,16,14,0,1,0,0,0,2,4,2.00,0,134,94,1161,12.35,10,3,0,10,0,0
Cordarrelle Patterson,28,16,4,0,0,0,0,0,17,103,6.06,0,17,11,83,7.55,0,0,0,1,0,0
Corey Clement,25,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0
Corey Davis,24,15,11,0,0,0,0,0,0,0,0,0,69,43,601,13.98,2,1,0,2,0,0
Courtland Sutton,24,16,14,1,1,38,0,0,3,17,5.67,0,124,72,1112,15.44,6,2,0,6,0,0
Craig Reynolds,23,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cullen Gillaspia,24,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Curtis Samuel,23,16,15,0,0,0,0,0,19,130,6.84,1,105,54,627,11.61,6,0,0,7,0,0
D'Ernest Johnson,23,16,0,0,0,0,0,0,4,21,5.25,0,7,6,71,11.83,0,0,0,0,0,0
D.J. Foster,26,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D.J. Moore,22,15,15,0,0,0,0,0,6,40,6.67,0,135,87,1175,13.51,4,2,1,4,0,0
D.K. Metcalf,22,16,15,0,0,0,0,0,2,11,5.50,0,100,58,900,15.52,7,3,3,7,1,0
DJ Chark,23,15,14,0,0,0,0,0,2,20,10.00,0,118,73,1008,13.81,8,0,0,8,1,0
DaeSean Hamilton,24,16,2,0,0,0,0,0,0,0,0,0,52,28,297,10.61,1,0,0,1,0,0
Dak Prescott,26,16,16,388,596,4902,30,11,52,277,5.33,3,0,0,0,0,0,6,2,3,0,1
Dallas Goedert,24,15,9,0,0,0,0,0,0,0,0,0,87,58,607,10.47,5,2,2,5,0,0
Dalton Schultz,23,16,0,0,0,0,0,0,0,0,0,0,2,1,6,6.00,0,0,0,0,0,0
Dalvin Cook,24,14,14,0,0,0,0,0,250,1135,4.54,13,63,53,519,9.79,0,4,2,13,0,0
Damien Harris,22,2,0,0,0,0,0,0,4,12,3.00,0,0,0,0,0,0,0,0,0,0,0
Damiere Byrd,26,11,3,0,0,0,0,0,0,0,0,0,46,32,359,11.22,1,1,1,1,0,0
Damion Ratley,24,13,3,0,0,0,0,0,0,0,0,0,24,12,200,16.67,1,0,0,1,0,0
Dan Arnold,24,5,1,0,0,0,0,0,0,0,0,0,14,8,127,15.88,2,0,0,2,0,0
Daniel Brown,27,16,5,0,0,0,0,0,0,0,0,0,11,7,72,10.29,1,0,0,1,0,0
Daniel Jones,22,13,12,284,459,3027,24,12,45,279,6.20,2,0,0,0,0,0,19,11,2,0,2
